in s,C1 in V
-5.92208E-04,2.805570E-01
-5.92192E-04,2.797858E-01
-5.92176E-04,2.804353E-01
-5.92160E-04,2.791364E-01
-5.92144E-04,2.788117E-01
-5.92128E-04,2.786697E-01
-5.92112E-04,2.802323E-01
-5.92096E-04,2.793191E-01
-5.92080E-04,2.788117E-01
-5.92064E-04,2.794003E-01
-5.92048E-04,2.782841E-01
-5.92032E-04,2.783450E-01
-5.92016E-04,2.789944E-01
-5.92000E-04,2.800497E-01
-5.91984E-04,2.771882E-01
-5.91968E-04,2.786697E-01
-5.91952E-04,2.777564E-01
-5.91936E-04,2.763967E-01
-5.91920E-04,2.775738E-01
-5.91904E-04,2.786088E-01
-5.91888E-04,2.783450E-01
-5.91872E-04,2.776955E-01
-5.91856E-04,2.776347E-01
-5.91840E-04,2.782841E-01
-5.91824E-04,2.782841E-01
-5.91808E-04,2.771070E-01
-5.91792E-04,2.771070E-01
-5.91776E-04,2.778985E-01
-5.91760E-04,2.778376E-01
-5.91744E-04,2.785479E-01
-5.91728E-04,2.784870E-01
-5.91712E-04,2.790553E-01
-5.91696E-04,2.778376E-01
-5.91680E-04,2.764576E-01
-5.91664E-04,2.777564E-01
-5.91648E-04,2.769852E-01
-5.91632E-04,2.760720E-01
-5.91616E-04,2.780202E-01
-5.91600E-04,2.767823E-01
-5.91584E-04,2.780811E-01
-5.91568E-04,2.778376E-01
-5.91552E-04,2.769852E-01
-5.91536E-04,2.763967E-01
-5.91520E-04,2.770461E-01
-5.91504E-04,2.782232E-01
-5.91488E-04,2.763358E-01
-5.91472E-04,2.762749E-01
-5.91456E-04,2.760111E-01
-5.91440E-04,2.771070E-01
-5.91424E-04,2.762749E-01
-5.91408E-04,2.767214E-01
-5.91392E-04,2.763967E-01
-5.91376E-04,2.763358E-01
-5.91360E-04,2.780811E-01
-5.91344E-04,2.770461E-01
-5.91328E-04,2.756864E-01
-5.91312E-04,2.767214E-01
-5.91296E-04,2.754226E-01
-5.91280E-04,2.758082E-01
-5.91264E-04,2.754226E-01
-5.91248E-04,2.753617E-01
-5.91232E-04,2.765997E-01
-5.91216E-04,2.767214E-01
-5.91200E-04,2.765997E-01
-5.91184E-04,2.762749E-01
-5.91168E-04,2.761329E-01
-5.91152E-04,2.762749E-01
-5.91136E-04,2.759502E-01
-5.91120E-04,2.763358E-01
-5.91104E-04,2.765388E-01
-5.91088E-04,2.752399E-01
-5.91072E-04,2.762749E-01
-5.91056E-04,2.767214E-01
-5.91040E-04,2.754226E-01
-5.91024E-04,2.763358E-01
-5.91008E-04,2.754226E-01
-5.90992E-04,2.753617E-01
-5.90976E-04,2.751588E-01
-5.90960E-04,2.760720E-01
-5.90944E-04,2.760111E-01
-5.90928E-04,2.755647E-01
-5.90912E-04,2.737382E-01
-5.90896E-04,2.758894E-01
-5.90880E-04,2.744485E-01
-5.90864E-04,2.763967E-01
-5.90848E-04,2.747732E-01
-5.90832E-04,2.759502E-01
-5.90816E-04,2.747732E-01
-5.90800E-04,2.748949E-01
-5.90784E-04,2.762749E-01
-5.90768E-04,2.752399E-01
-5.90752E-04,2.748949E-01
