in Hz,Spectrum in dBm
1.6784668E+05,-4.05975E+01
1.6832352E+05,-4.04575E+01
1.6880035E+05,-4.03575E+01
1.6927719E+05,-4.02775E+01
1.6975403E+05,-4.02175E+01
1.7023087E+05,-4.01975E+01
1.7070770E+05,-4.01575E+01
1.7118454E+05,-4.01375E+01
1.7166138E+05,-4.01175E+01
1.7213821E+05,-4.00775E+01
1.7261505E+05,-4.00375E+01
1.7309189E+05,-3.99575E+01
1.7356873E+05,-3.98775E+01
1.7404556E+05,-3.97775E+01
1.7452240E+05,-3.96575E+01
1.7499924E+05,-3.95175E+01
1.7547607E+05,-3.93975E+01
1.7595291E+05,-3.92775E+01
1.7642975E+05,-3.91575E+01
1.7690659E+05,-3.90575E+01
1.7738342E+05,-3.89775E+01
1.7786026E+05,-3.89375E+01
1.7833710E+05,-3.88975E+01
1.7881393E+05,-3.89175E+01
1.7929077E+05,-3.89575E+01
1.7976761E+05,-3.90375E+01
1.8024445E+05,-3.91575E+01
1.8072128E+05,-3.93175E+01
1.8119812E+05,-3.94975E+01
1.8167496E+05,-3.97175E+01
1.8215179E+05,-3.99575E+01
1.8262863E+05,-4.02375E+01
1.8310547E+05,-4.05575E+01
1.8358231E+05,-4.08775E+01
1.8405914E+05,-4.12375E+01
1.8453598E+05,-4.16175E+01
1.8501282E+05,-4.19975E+01
1.8548965E+05,-4.23975E+01
1.8596649E+05,-4.28175E+01
1.8644333E+05,-4.32375E+01
1.8692017E+05,-4.36575E+01
1.8739700E+05,-4.40975E+01
1.8787384E+05,-4.45375E+01
1.8835068E+05,-4.49775E+01
1.8882751E+05,-4.54175E+01
1.8930435E+05,-4.58775E+01
1.8978119E+05,-4.63575E+01
1.9025803E+05,-4.68375E+01
1.9073486E+05,-4.73575E+01
1.9121170E+05,-4.79175E+01
1.9168854E+05,-4.85375E+01
1.9216537E+05,-4.91975E+01
1.9264221E+05,-4.99575E+01
1.9311905E+05,-5.07975E+01
1.9359589E+05,-5.17575E+01
1.9407272E+05,-5.28375E+01
1.9454956E+05,-5.40975E+01
1.9502640E+05,-5.55575E+01
1.9550323E+05,-5.72375E+01
1.9598007E+05,-5.91375E+01
1.9645691E+05,-6.11975E+01
1.9693375E+05,-6.29975E+01
1.9741058E+05,-6.37575E+01
1.9788742E+05,-6.30575E+01
1.9836426E+05,-6.16175E+01
1.9884109E+05,-6.00775E+01
1.9931793E+05,-5.87375E+01
1.9979477E+05,-5.76175E+01
2.0027161E+05,-5.66775E+01
2.0074844E+05,-5.59175E+01
2.0122528E+05,-5.52775E+01
2.0170212E+05,-5.47575E+01
2.0217896E+05,-5.43175E+01
2.0265579E+05,-5.39375E+01
2.0313263E+05,-5.36175E+01
2.0360947E+05,-5.33575E+01
2.0408630E+05,-5.31375E+01
