in s,C2 in V
-2.9844758E+00,-7.6431274E-01
-2.9844300E+00,-7.6492310E-01
-2.9843843E+00,-7.6492310E-01
-2.9843385E+00,-7.6736450E-01
-2.9842927E+00,-7.6644897E-01
-2.9842469E+00,-7.6309204E-01
-2.9842011E+00,-7.6614380E-01
-2.9841553E+00,-7.6431274E-01
-2.9841096E+00,-7.6034546E-01
-2.9840638E+00,-7.6126099E-01
-2.9840180E+00,-7.6553345E-01
-2.9839722E+00,-7.7072144E-01
-2.9839264E+00,-7.6675415E-01
-2.9838806E+00,-7.6309204E-01
-2.9838348E+00,-7.6797485E-01
-2.9837891E+00,-7.6858521E-01
-2.9837433E+00,-7.6736450E-01
-2.9836975E+00,-7.6828003E-01
-2.9836517E+00,-7.6675415E-01
-2.9836059E+00,-7.6278687E-01
-2.9835601E+00,-7.6065063E-01
-2.9835144E+00,-7.6278687E-01
-2.9834686E+00,-7.6492310E-01
-2.9834228E+00,-7.6797485E-01
-2.9833770E+00,-7.6614380E-01
-2.9833312E+00,-7.6675415E-01
-2.9832854E+00,-7.7011108E-01
-2.9832397E+00,-7.6675415E-01
-2.9831939E+00,-7.6858521E-01
-2.9831481E+00,-7.6736450E-01
-2.9831023E+00,-7.6614380E-01
-2.9830565E+00,-7.7133179E-01
-2.9830107E+00,-7.7560425E-01
-2.9829650E+00,-7.7499390E-01
-2.9829192E+00,-7.7560425E-01
-2.9828734E+00,-7.7774048E-01
-2.9828276E+00,-7.7804565E-01
-2.9827818E+00,-7.7743530E-01
-2.9827360E+00,-7.7194214E-01
-2.9826902E+00,-7.7255249E-01
-2.9826445E+00,-7.7377319E-01
-2.9825987E+00,-7.7011108E-01
-2.9825529E+00,-7.7194214E-01
-2.9825071E+00,-7.6766968E-01
-2.9824613E+00,-7.7133179E-01
-2.9824155E+00,-7.7102661E-01
-2.9823698E+00,-7.6828003E-01
-2.9823240E+00,-7.6492310E-01
-2.9822782E+00,-7.7011108E-01
-2.9822324E+00,-7.6644897E-01
-2.9821866E+00,-7.6675415E-01
-2.9821408E+00,-7.6278687E-01
-2.9820951E+00,-7.6217651E-01
-2.9820493E+00,-7.6278687E-01
-2.9820035E+00,-7.6522827E-01
-2.9819577E+00,-7.6034546E-01
-2.9819119E+00,-7.6217651E-01
-2.9818661E+00,-7.6156616E-01
-2.9818204E+00,-7.6095581E-01
-2.9817746E+00,-7.6217651E-01
-2.9817288E+00,-7.5851440E-01
-2.9816830E+00,-7.6278687E-01
-2.9816372E+00,-7.6309204E-01
-2.9815914E+00,-7.6431274E-01
-2.9815456E+00,-7.6675415E-01
-2.9814999E+00,-7.6675415E-01
-2.9814541E+00,-7.6858521E-01
-2.9814083E+00,-7.6431274E-01
-2.9813625E+00,-7.6461792E-01
-2.9813167E+00,-7.6492310E-01
-2.9812709E+00,-7.6095581E-01
-2.9812252E+00,-7.6400757E-01
-2.9811794E+00,-7.5912476E-01
-2.9811336E+00,-7.6309204E-01
-2.9810878E+00,-7.6370239E-01
-2.9810420E+00,-7.6492310E-01
-2.9809962E+00,-7.6461792E-01
-2.9809505E+00,-7.5942993E-01
-2.9809047E+00,-7.6065063E-01
-2.9808589E+00,-7.6522827E-01
-2.9808131E+00,-7.6278687E-01
-2.9807673E+00,-7.6370239E-01
-2.9807215E+00,-7.6492310E-01
-2.9806758E+00,-7.6248169E-01
-2.9806300E+00,-7.5698853E-01
-2.9805842E+00,-7.5241089E-01
-2.9805384E+00,-7.5424194E-01
-2.9804926E+00,-7.5637817E-01
-2.9804468E+00,-7.6034546E-01
